game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,1,2,1,True,0,5,3,5,15,4,1,302.77
2,1002,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,8,5,1,17,10,0,744.449
3,1003,skids,complete,no_resolution,no_resolution,2,3,1,True,1,7,4,7,24,6,2,481.801
4,1004,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,11,3,9,32,12,5,1010.036
5,1005,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,10,5,7,30,9,0,730.215
6,1006,roland,complete,no_resolution,no_resolution,2,3,1,True,1,11,3,5,30,11,4,744.907
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,3,9,27,7,0,581.09
8,1008,skids,complete,no_resolution,no_resolution,3,3,0,True,1,11,1,2,34,11,3,666.167
9,1009,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,11,3,8,31,12,2,868.024
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,8,7,6,28,7,0,906.699
