game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,6,6,0,True,4,14,5,2,42,14,6,862.937
2,1002,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,14,3,7,51,14,1,1143.21
3,1003,skids,complete,no_resolution,no_resolution,6,6,0,True,4,17,0,4,57,17,6,1091.528
4,1004,agnes,complete,R3,R3,0,0,0,True,3,15,1,6,38,15,6,959.647
5,1005,wendy,complete,no_resolution,no_resolution,5,5,0,True,3,13,5,5,39,13,1,952.64
6,1006,roland,complete,no_resolution,no_resolution,5,6,1,True,4,14,6,3,39,17,10,1011.454
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,13,3,9,43,13,1,1061.143
8,1008,skids,complete,no_resolution,no_resolution,4,4,0,True,2,10,2,5,34,10,2,644.016
9,1009,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,15,3,7,40,15,3,1147.805
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,9,3,4,33,8,1,556.141
11,1011,roland,complete,no_resolution,no_resolution,1,2,1,True,0,8,2,7,21,7,1,749.15
12,1012,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,10,4,8,34,11,3,511.343
13,1013,skids,complete,no_resolution,no_resolution,4,4,0,True,2,14,4,4,44,14,4,756.849
14,1014,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,14,7,9,41,15,4,724.557
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,4,6,30,7,0,426.507
16,1016,roland,complete,no_resolution,no_resolution,3,4,1,True,2,13,3,5,39,13,7,610.78
17,1017,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,11,5,9,42,11,3,885.159
18,1018,skids,complete,no_resolution,no_resolution,4,4,0,True,2,12,2,4,41,12,1,727.897
19,1019,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,14,7,4,41,15,2,973.608
20,1020,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,8,3,4,26,8,0,580.539
21,1021,roland,complete,no_resolution,no_resolution,3,4,1,True,2,15,3,5,43,15,7,719.792
22,1022,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,5,4,9,16,4,0,314.882
23,1023,skids,complete,no_resolution,no_resolution,2,3,1,True,1,8,8,3,26,7,2,403.007
24,1024,agnes,complete,R1,R1,6,7,1,True,5,14,5,6,39,14,6,1052.95
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,2,1,37,10,0,707.638
26,1026,roland,complete,no_resolution,no_resolution,3,5,2,True,3,11,7,5,33,11,6,594.266
27,1027,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,12,3,5,42,12,0,811.767
28,1028,skids,complete,no_resolution,no_resolution,5,5,0,True,3,12,2,4,37,12,2,658.86
29,1029,agnes,complete,R2,R2,6,6,0,False,3,17,1,5,50,17,5,892.851
30,1030,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,13,6,5,41,13,1,862.393
