game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,9,4,5,27,8,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,7,5,5,20,6,0,0.0
3,1003,skids,complete,no_resolution,no_resolution,3,4,1,True,2,13,8,2,42,13,2,0.0
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,11,2,8,31,12,4,0.0
5,1005,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,13,2,4,37,13,1,0.0
6,1006,roland,complete,no_resolution,no_resolution,1,3,2,True,1,8,5,6,24,7,2,0.0
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,9,37,10,0,0.0
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,9,5,6,28,8,2,0.0
9,1009,agnes,complete,R1,R1,6,7,1,True,5,13,2,6,39,17,7,0.0
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,5,3,29,7,0,0.0
