game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,1,2,1,True,0,5,5,5,15,4,1,129.556
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,8,5,7,25,7,0,211.415
3,1003,skids,complete,no_resolution,no_resolution,1,2,1,True,0,6,4,6,20,5,0,204.575
4,1004,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,4,1,8,11,3,1,113.945
5,1005,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,11,8,8,37,11,0,381.055
6,1006,roland,complete,no_resolution,no_resolution,1,2,1,True,0,6,3,5,18,5,1,142.736
7,1007,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,8,6,8,25,7,0,290.9
8,1008,skids,complete,no_resolution,no_resolution,1,2,1,True,0,6,8,6,19,5,0,189.377
9,1009,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,7,3,8,21,6,0,255.805
10,1010,wendy,complete,no_resolution,no_resolution,1,2,1,True,0,7,7,3,17,6,1,187.474
11,1011,roland,complete,no_resolution,no_resolution,1,2,1,True,0,8,0,7,20,7,1,151.575
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,5,9,29,8,1,267.715
13,1013,skids,complete,no_resolution,no_resolution,0,0,1,True,0,12,5,7,38,12,2,345.013
14,1014,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,7,1,8,19,6,1,181.229
15,1015,wendy,complete,no_resolution,no_resolution,1,2,1,True,0,5,6,7,19,4,0,310.214
16,1016,roland,complete,no_resolution,no_resolution,1,2,1,True,0,6,9,2,16,5,0,225.23
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,3,5,5,10,2,0,194.204
18,1018,skids,complete,no_resolution,no_resolution,0,0,1,True,0,4,6,6,13,3,0,130.62
19,1019,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,8,31,11,2,324.185
20,1020,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,8,4,7,25,7,0,250.476
21,1021,roland,complete,no_resolution,no_resolution,1,2,1,True,0,5,9,0,13,4,0,141.927
22,1022,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,6,1,9,19,5,0,216.115
23,1023,skids,complete,no_resolution,no_resolution,1,2,1,True,0,10,9,3,30,10,2,328.658
24,1024,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,5,6,8,12,4,0,121.868
25,1025,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,13,5,7,39,13,1,359.209
26,1026,roland,complete,no_resolution,no_resolution,0,2,2,True,0,10,4,6,27,10,2,218.134
27,1027,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,4,5,8,15,3,0,189.381
28,1028,skids,complete,no_resolution,no_resolution,1,2,1,True,0,6,5,6,19,5,0,210.631
29,1029,agnes,complete,R3,R3,0,0,0,True,0,17,4,2,46,16,4,407.321
30,1030,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,7,5,26,8,0,269.772
