game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,R1,R1,6,7,1,True,5,10,6,4,28,10,6,0.0
2,1002,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,11,3,6,37,11,1,0.0
3,1003,skids,complete,no_resolution,no_resolution,2,3,1,True,3,16,5,3,48,15,5,0.0
4,1004,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,8,4,8,22,8,2,0.0
5,1005,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,13,3,3,38,13,1,0.0
6,1006,roland,complete,no_resolution,no_resolution,1,3,2,True,1,10,2,5,30,10,2,0.0
7,1007,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,9,4,9,28,8,0,0.0
8,1008,skids,complete,no_resolution,no_resolution,3,3,0,True,1,12,4,4,40,12,2,0.0
9,1009,agnes,complete,no_resolution,no_resolution,5,6,1,True,4,14,4,8,42,16,4,0.0
10,1010,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,6,5,32,11,1,0.0
11,1011,roland,complete,R3,R3,0,0,0,True,2,13,5,4,36,12,4,0.0
12,1012,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,13,0,3,48,14,2,0.0
13,1013,skids,complete,no_resolution,no_resolution,1,2,1,True,0,15,8,5,48,15,4,0.0
14,1014,agnes,complete,no_resolution,no_resolution,3,3,0,True,1,11,5,7,33,12,4,0.0
15,1015,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,11,1,2,34,11,2,0.0
16,1016,roland,complete,no_resolution,no_resolution,2,3,1,True,1,11,7,5,30,11,4,0.0
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,4,5,6,11,3,1,0.0
18,1018,skids,complete,R2,R2,6,6,0,False,3,10,1,3,37,10,3,0.0
19,1019,agnes,complete,R3,R3,0,0,0,True,1,16,0,7,42,15,4,0.0
20,1020,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,0,3,35,10,1,0.0
21,1021,roland,complete,no_resolution,no_resolution,3,4,1,True,2,16,8,5,46,16,6,0.0
22,1022,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,9,42,12,1,0.0
23,1023,skids,complete,no_resolution,no_resolution,1,2,1,True,0,11,7,6,36,11,2,1798.294
24,1024,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,11,4,8,29,12,4,0.0
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,13,1,3,51,13,2,0.0
26,1026,roland,complete,R1,R1,4,6,2,True,4,14,6,2,42,14,8,0.0
27,1027,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,5,35,14,2,0.0
28,1028,skids,complete,no_resolution,no_resolution,3,4,1,True,2,9,4,6,25,8,1,0.0
29,1029,agnes,complete,R1,R1,4,5,1,True,3,15,2,5,44,15,4,0.0
30,1030,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,12,3,4,41,12,0,0.0
