game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,3,4,1,True,2,7,3,5,19,6,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,9,5,8,28,11,3,0.0
3,1003,skids,complete,no_resolution,no_resolution,3,4,1,True,2,13,8,5,41,15,5,6105.216
4,1004,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,14,6,7,38,15,6,7636.769
5,1005,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,13,3,6,47,13,1,8148.653
6,1006,roland,complete,R2,R2,6,7,1,False,4,12,1,3,36,12,5,3956.494
7,1007,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,9,5,7,32,8,0,1951.731
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,13,1,6,39,13,2,2311.057
9,1009,agnes,complete,R2,R2,7,7,0,False,4,13,2,7,39,14,3,3256.954
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,11,3,4,33,11,1,0.0
