game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,9,5,5,27,8,3,385.064
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,10,37,12,1,557.959
3,1003,skids,complete,no_resolution,no_resolution,2,3,1,True,1,11,8,6,37,11,1,494.234
4,1004,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,9,6,8,27,9,3,363.101
5,1005,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,10,5,7,33,9,0,469.466
6,1006,roland,complete,no_resolution,no_resolution,1,3,2,True,1,9,6,6,27,9,3,481.326
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,9,43,12,0,765.586
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,10,4,6,28,10,2,349.823
9,1009,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,11,4,8,32,12,1,684.34
10,1010,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,10,6,7,30,10,1,428.255
