game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,2,3,1,True,1,6,2,5,18,5,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,4,4,0,True,2,10,2,7,36,9,0,0.0
3,1003,skids,complete,R1,R1,5,6,1,True,4,14,5,1,45,14,4,0.0
4,1004,agnes,complete,no_resolution,no_resolution,5,6,1,True,4,15,1,6,42,15,7,0.0
5,1005,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,13,4,4,36,12,0,0.0
6,1006,roland,complete,no_resolution,no_resolution,2,4,2,True,2,10,5,5,30,10,4,0.0
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,4,9,28,8,1,0.0
8,1008,skids,complete,no_resolution,no_resolution,3,3,0,True,3,14,4,5,45,14,4,0.0
9,1009,agnes,complete,R2,R2,8,8,0,False,5,17,5,7,50,21,9,1226.877
10,1010,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,9,2,2,33,8,1,0.0
11,1011,roland,complete,R1,R1,4,6,2,True,4,12,3,4,36,13,4,0.0
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,12,5,8,44,12,1,0.0
13,1013,skids,complete,R3,R3,0,0,0,True,0,14,4,3,44,16,3,0.0
14,1014,agnes,complete,R2,R2,7,7,0,False,4,10,0,3,30,10,3,0.0
15,1015,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,11,6,7,43,11,0,0.0
16,1016,roland,complete,R2,R2,7,8,1,False,5,18,8,4,53,19,9,0.0
17,1017,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,13,6,7,50,13,1,0.0
18,1018,skids,complete,no_resolution,no_resolution,3,4,1,True,2,14,3,2,45,15,4,0.0
19,1019,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,14,3,5,39,14,2,0.0
20,1020,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,2,3,33,11,0,0.0
21,1021,roland,complete,R1,R1,6,8,2,True,6,15,5,4,45,15,9,0.0
22,1022,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,5,7,35,10,0,0.0
23,1023,skids,complete,R3,R3,0,0,0,True,2,14,7,5,41,13,4,0.0
24,1024,agnes,complete,R3,R3,0,0,0,True,3,14,0,4,38,16,5,0.0
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,10,5,3,29,10,0,0.0
26,1026,roland,complete,no_resolution,no_resolution,0,2,2,True,0,12,10,5,36,12,5,0.0
27,1027,daisy,complete,no_resolution,no_resolution,3,4,1,True,2,11,5,8,40,11,1,0.0
28,1028,skids,complete,no_resolution,no_resolution,5,6,1,True,4,15,2,2,46,14,4,0.0
29,1029,agnes,complete,R2,R2,6,6,0,False,3,14,1,6,41,14,4,0.0
30,1030,wendy,complete,R1,R1,4,5,1,True,3,12,3,5,35,12,2,0.0
