game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,5.149
2,1002,daisy,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.082
3,1003,skids,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.196
4,1004,agnes,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.349
5,1005,wendy,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.524
6,1006,roland,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.334
7,1007,daisy,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.08
8,1008,skids,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.006
9,1009,agnes,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.381
10,1010,wendy,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,4.188
