game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,2,3,1,True,1,11,8,5,33,11,6,474.052
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,6,9,35,11,2,577.089
3,1003,skids,complete,no_resolution,no_resolution,4,5,1,True,3,15,1,4,47,14,3,797.074
4,1004,agnes,complete,R3,R3,0,0,0,True,2,13,1,7,36,13,6,658.88
5,1005,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,12,0,0,44,12,1,665.5
6,1006,roland,complete,no_resolution,no_resolution,3,5,2,True,3,12,4,6,36,12,4,572.665
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,9,35,10,0,592.533
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,10,0,7,30,10,2,699.926
9,1009,agnes,complete,R1,R1,6,7,1,True,5,10,0,3,29,12,3,566.827
10,1010,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,9,2,3,30,8,1,769.826
