game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,9,4,6,27,8,3,0.0
2,1002,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,4,9,39,11,1,0.0
3,1003,skids,complete,no_resolution,no_resolution,4,5,1,True,3,15,4,6,49,15,6,0.0
4,1004,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,14,2,8,40,14,5,0.0
5,1005,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,5,7,30,9,0,0.0
6,1006,roland,complete,no_resolution,no_resolution,1,3,2,True,1,7,2,5,21,6,2,0.0
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,5,6,34,8,0,0.0
8,1008,skids,complete,no_resolution,no_resolution,0,1,1,True,1,12,3,6,37,12,3,0.0
9,1009,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,5,0,9,12,5,0,0.0
10,1010,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,10,6,7,29,10,1,0.0
11,1011,roland,complete,no_resolution,no_resolution,2,3,1,True,1,13,2,4,36,12,2,0.0
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,13,4,10,48,13,3,0.0
13,1013,skids,complete,no_resolution,no_resolution,1,2,1,True,0,10,1,7,29,10,2,0.0
14,1014,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,11,7,5,33,11,3,0.0
15,1015,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,12,2,6,44,11,0,0.0
16,1016,roland,complete,R1,R1,5,6,1,True,4,13,0,2,39,13,6,0.0
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,11,5,8,39,11,2,0.0
18,1018,skids,complete,no_resolution,no_resolution,2,3,1,True,1,12,8,5,40,12,1,0.0
19,1019,agnes,complete,no_resolution,no_resolution,1,2,1,True,0,8,0,8,23,10,2,0.0
20,1020,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,14,1,2,45,13,3,0.0
21,1021,roland,complete,R1,R1,4,5,1,True,3,11,3,3,31,11,5,0.0
22,1022,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,9,5,8,31,8,0,0.0
23,1023,skids,complete,no_resolution,no_resolution,1,2,1,True,0,11,8,4,36,11,5,0.0
24,1024,agnes,incomplete,incomplete,incomplete,0,0,0,False,0,0,0,0,0,0,0,5501.63
25,1025,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,13,0,2,40,12,0,3272.981
26,1026,roland,complete,no_resolution,no_resolution,0,2,2,True,0,8,6,5,24,7,2,1769.435
27,1027,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,5,8,38,11,1,881.048
28,1028,skids,complete,no_resolution,no_resolution,3,4,1,True,2,12,2,6,35,12,2,826.73
29,1029,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,15,2,4,40,15,4,566.626
30,1030,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,3,8,30,10,2,672.684
