game,seed,investigator,status,outcome,resolution,score,xp,trauma_total,lita_earned,victory_points,rounds,damage_taken,horror_taken,actions_taken,encounter_cards_drawn,enemies_defeated,wall_seconds
1,1001,roland,complete,no_resolution,no_resolution,4,5,1,True,3,10,8,5,30,10,4,305.061
2,1002,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,9,5,7,32,11,0,358.24
3,1003,skids,complete,no_resolution,no_resolution,4,5,1,True,3,12,8,5,39,12,3,446.048
4,1004,agnes,complete,R3,R3,0,0,0,True,2,14,2,2,38,14,4,439.826
5,1005,wendy,complete,no_resolution,no_resolution,3,4,1,True,2,11,7,7,33,11,1,376.92
6,1006,roland,complete,no_resolution,no_resolution,2,4,2,True,2,12,4,5,34,12,4,323.937
7,1007,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,9,4,9,26,8,0,355.206
8,1008,skids,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,6,35,12,2,414.503
9,1009,agnes,complete,R3,R3,0,0,0,True,2,12,4,1,33,11,1,394.341
10,1010,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,12,3,4,35,11,0,328.917
11,1011,roland,complete,no_resolution,no_resolution,3,4,1,True,2,12,6,6,35,12,3,289.538
12,1012,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,11,4,9,31,11,1,490.169
13,1013,skids,complete,R3,R3,0,0,0,True,1,15,2,5,47,14,4,1805.982
14,1014,agnes,complete,no_resolution,no_resolution,4,5,1,True,3,15,7,6,45,16,5,508.588
15,1015,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,10,6,7,38,10,0,540.222
16,1016,roland,complete,no_resolution,no_resolution,1,2,1,True,0,9,9,3,23,10,5,238.039
17,1017,daisy,complete,no_resolution,no_resolution,1,2,1,True,0,4,5,6,12,3,0,123.54
18,1018,skids,complete,no_resolution,no_resolution,2,3,1,True,1,12,4,6,37,12,1,352.89
19,1019,agnes,complete,no_resolution,no_resolution,3,4,1,True,2,12,6,5,35,16,3,403.625
20,1020,wendy,complete,no_resolution,no_resolution,3,3,0,True,1,11,1,4,31,11,0,412.056
21,1021,roland,complete,R1,R1,3,5,2,True,3,11,4,3,33,11,6,373.213
22,1022,daisy,complete,no_resolution,no_resolution,2,3,1,True,1,7,6,9,26,6,0,286.617
23,1023,skids,complete,no_resolution,no_resolution,2,3,1,True,1,9,8,5,29,8,1,262.326
24,1024,agnes,complete,no_resolution,no_resolution,2,3,1,True,1,4,5,9,12,4,1,266.023
25,1025,wendy,complete,no_resolution,no_resolution,4,4,0,True,2,8,1,0,28,7,0,270.193
26,1026,roland,complete,no_resolution,no_resolution,3,3,0,True,1,11,4,4,32,11,4,295.665
27,1027,daisy,complete,no_resolution,no_resolution,3,3,0,True,1,10,4,6,39,10,0,392.764
28,1028,skids,complete,no_resolution,no_resolution,3,3,0,True,3,11,2,5,38,11,2,439.165
29,1029,agnes,complete,no_resolution,no_resolution,5,5,0,True,3,16,1,5,47,18,5,536.733
30,1030,wendy,complete,no_resolution,no_resolution,2,3,1,True,1,9,7,4,26,8,0,271.216
